                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 2.8311,                 4.0575,                 2.3517,                  8e-05,                0.02632,                  4e-05,                  1e-05,                 3.5726,                 5.3391,                 3.1763,              0.0091783,              0.0091783,              0.0091783
                     85,                 2.9277,                 3.9272,                 2.2539,                 0.0001,                0.02632,                  5e-05,                  3e-05,                 3.5789,                 5.3619,                 3.1386,              0.0091684,              0.0091684,              0.0091684
                     86,                 2.8104,                  3.886,                 2.3093,                  9e-05,                0.02632,                  5e-05,                  2e-05,                 3.7672,                 5.4395,                 3.3062,              0.0091585,              0.0091585,              0.0091585
                     87,                 2.8238,                 3.7462,                 2.3799,                 0.0001,                0.02632,                  9e-05,                  2e-05,                 3.5067,                 5.0254,                  3.087,              0.0091486,              0.0091486,              0.0091486
                     88,                 2.7952,                 3.7206,                 2.3467,                0.00035,                0.10526,                0.00027,                  4e-05,                 3.1569,                 4.9726,                 3.0374,              0.0091387,              0.0091387,              0.0091387
                     89,                 2.8022,                 3.6163,                   2.36,                0.00026,                0.07895,                0.00016,                  3e-05,                  3.524,                 5.5495,                 3.0646,              0.0091288,              0.0091288,              0.0091288
                     90,                 2.9058,                 3.8491,                 2.4385,                  8e-05,                0.02632,                  5e-05,                  2e-05,                 3.6682,                 6.8898,                 3.2992,              0.0091189,              0.0091189,              0.0091189
                     91,                 2.7991,                 3.7399,                 2.3674,                0.00017,                0.05263,                 0.0006,                0.00015,                 3.5451,                 4.9085,                  3.358,               0.009109,               0.009109,               0.009109
                     92,                 2.8071,                 3.6793,                 2.2891,                0.00026,                0.07895,                0.00116,                0.00065,                 3.5548,                 4.5854,                 3.3472,              0.0090991,              0.0090991,              0.0090991
                     93,                 2.7499,                 3.7356,                 2.3755,                0.00017,                0.05263,                0.00022,                 0.0001,                 3.3471,                 4.8096,                 3.1433,              0.0090892,              0.0090892,              0.0090892
